name
PILLAR II
PARAKOU
OHENE DOWN
ATOMIC FIRST GATE
RABIT
AUNTIE MARY
NO VISA DOWN
CROSSING/RAILWAY
ST. JOHN
DOME MARKET
ALOGBOSHIE
OLD STATION 
ATOMIC DOWN
BUSANGA
MILE 7
OKOE
KONKA
