Electoral Area
Abosamso
Adeito
Ampento
Ankaase
Anomawobi
Anwiaso
Anyaaso
Apewu
Asiwa Bobiam
Dajanso
Damascus
Danso Anyinase
Duase
Korkyikrom
Morontuo
Nsese
Nsuaem I
Nsuaem II
Nsuta
Tebeso
Yapesa Kokoben
