name
RABIT
NARHMAN
POINT ONE
BETHEL CAMP
MUSUKU
SAMANPA
OFORIKROM
ASHONGMAN ESTATE
SUMA HURT
ASHONGMAN CITY
BANK OF GHANA
F-LINE
CHINA PROJECT SITE
GA EAST HOSPITAL 
BOHYE
ASHONGMAN BRIDGE
ASHONGMAN CURVE
MANGOASE
ATOMIC DOWN
