"id","name","electoralAreaId","districtId","deleted","createdAt","updatedAt"
93,PAPASE SOLDIER LINE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
94,SABAAMAN,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
95,KOKOMAN,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
96,AGORTIKOPE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
97,VICTORKOPE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
98,BLEWO,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
99,KPORLAFIA,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
100,NEKPOR,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
101,DONKORKOPE,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
102,SKIDOKOPE,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
103,ARDEYMAN,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
104,KRAMORMAN,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
105,DOME SAMPAHMAN,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
106,MAGBO,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
107,ADJEIMAN,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
108,KWASHIE KUMAH,10,17,0,2023-05-23 09:37:43.815,2023-05-23 09:37:43.815
109,ACHIAMAN,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
110,NTAFRAFA,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
111,DOBLO GONNO,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
112,SONITRA,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
113,KPOTA,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
114,DAR-SALEM,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
115,THREE JUNCTION,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
116,ABEHENEASE,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
117,COCOABOARD,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
118,DOBLO GONNO KKD,11,17,0,2023-05-23 09:37:52.163,2023-05-23 09:37:52.163
119,ODUNTIA,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
120,AKWASTSRI NUMBER 2,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
121,OTUAPLEM,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
122,SOSHIEKOPE,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
123,AHASUWUDIE,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
124,KOJO ASHONG,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
125,SODIE KOPE,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
126,MENSAHMAN,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
127,DONKORMAN,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
128,OTATEN,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
129,AKWASTSRI NUMBER 1,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
130,HUNORVIMAN,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
