name
HAATSO PALACE AREA
ECOMOG
ADJEI MENSAH AREA
DESRA AREA
ECO CITY AREA
ST. ELIZABETH AREA
PAPAO AREA
PAPAO II AREA
WESTLAND
MABAY
PROF. OCQUAYE AREA
ACACIA AREA
