name
Asokwa
Hwiremoase
Nyankomaso
Bofroyedru East
Bofroyedru West
Tewobaabi
Anhwiaso
Akwanserem
Biakwaso
Pewodie
Konsimwaa
Anwona
Kojo Nkwanta
New Akrofuom
Fumso
Asillvikrom
Odem Anwiam
Nkwantenso
Ansa
Pipiiso
Nyankomase
Aboabo
Saponso
Nsokote
Mem
Bodwesango East
Bofroyedru West
