name
AKOTRESO
TONKOASE
SOMOROSO
ATWEREBOANA
NSATA SUBRISO
FAHIAKOBO
APAGYA EAST
APAGYA WEST
ATOBIASE EAST
ATOBIASE WEST
KRAMOKROM
APAGYA SOUTH
MENANG
AMUDURASE
ASAMANYA
PETENYINASE
ABURASO
OLD ASAMAN
DWENDAMA
ADANSI PRASO
ATASI NKWANTA
NKRANFO NKWANTA
HWIDIEM
SUBIN CAMP
ACHEASEWA
WURUYIE EAST
WURUYIE WEST
EDWINASE
KOTWEA
