name
Abuakwa  Boaso
Abuakwa  Dadease/Nsuontem
Afari
Agogo
Amanchia
Asakraka
Asenemaso
Gyankobaa /Wioso
Hiawu Besase
Kobeng /Seidi
Maakro
Manhyia 
Mim 
Nerebehi
Nkaakom / Zongo
Nkawie kuma
Nkawie panin
Ntabaanu
Sepaase 
Toaso
Wirenkyire
