name
WEST ABLORHADJEI
NEIBOURHOOD
PARAKOU - ABOKOBI
WELDER
SCHOOL JUNCTION
GAS FILLING STATION
ALHAMADIYA
ASSEMBLIES
BORLAR JUNCTION
TAMAKLOE AREA
ADANSE
NEW JERUSALEM 
