name
Abodom 
Adankragya
Adjamesu
Akyeremade
Amoaful
Anwiankwanta 
Asamang
Asanso Feyiase
Asokwa
Bogyawe Ankaase
Brofoyeduru
Dadease
Dominase
Dotom 
Dwoamin
Dwumakro
Essumeja
Huntado 
Kensere
Kokofu
Kokotro 
Koniyaw Asokore
Kwamang Abesewa
Nampansa
New-Zongo
Ntinanko
Ofoase Kokoben
Pampaso
Pepedan Akwabetoso
Poano 
Pramaso Nyameduase
Sanfo Aduam
Sarfokrom  
Senfi 




























































































































