name
Gatsikope
Havorkope
Damax 1
Damax 2
Satellite A
Saatellite B
Kutunse A
Kutunse B
Treba A
Treba B
Kpobiman
Nyabeman
Kpikodzi
Kpobiman Hearts Park
Kpobiman light house
Grace community
Koans estate
