name,districtId,createdAt,updatedAt
odorkor,2,11/26/2022 13:16,11/26/2022 13:16
happy kids lane,2,11/26/2022 13:16,11/26/2022 13:16
station lane,2,11/26/2022 13:16,11/26/2022 13:16
Owusu Kofi St,2,11/26/2022 13:16,11/26/2022 13:16
HANSONIC,2,11/26/2022 13:16,11/26/2022 13:16
owusu Kofi Street,2,11/26/2022 13:16,11/26/2022 13:16
OPPOSITE FACULTY GH,2,11/26/2022 13:16,11/26/2022 13:16
near power vision church,2,11/26/2022 13:16,11/26/2022 13:16
QUARTERS,2,11/26/2022 13:16,11/26/2022 13:16
kokompe,2,11/26/2022 13:16,11/26/2022 13:16
Otaten,2,11/26/2022 13:16,11/26/2022 13:16
DOBLO GONNO,2,11/26/2022 13:16,11/26/2022 13:16
Methodist,2,11/26/2022 13:16,11/26/2022 13:16
baah yard,2,11/26/2022 13:16,11/26/2022 13:16
waterworks,2,11/26/2022 13:16,11/26/2022 13:16
Afropa area,2,11/26/2022 13:16,11/26/2022 13:16
Circle Station,2,11/26/2022 13:16,11/26/2022 13:16
POLICE STATION STREET,2,11/26/2022 13:16,11/26/2022 13:16
DARKUMAN Alafia,2,11/26/2022 13:16,11/26/2022 13:16
APA Street,2,11/26/2022 13:16,11/26/2022 13:16
Boame Street,2,11/26/2022 13:16,11/26/2022 13:16
Afropa,2,11/26/2022 13:16,11/26/2022 13:16
Presbyterian Lane,2,11/26/2022 13:16,11/26/2022 13:16
Morri house,2,11/26/2022 13:16,11/26/2022 13:16
circle station down,2,11/26/2022 13:16,11/26/2022 13:16
circle station Area,2,11/26/2022 13:16,11/26/2022 13:16
BRISCO,2,11/26/2022 13:16,11/26/2022 13:16
Ablekuma North Municipal Area,2,11/26/2022 13:16,11/26/2022 13:16
NII Kojo Armah St.,2,11/26/2022 13:16,11/26/2022 13:16
komkompe,2,11/26/2022 13:16,11/26/2022 13:16
station,2,11/26/2022 13:16,11/26/2022 13:16
DARKUMAN junction,2,11/26/2022 13:16,11/26/2022 13:16
masalachi,2,11/26/2022 13:16,11/26/2022 13:16
gloryland,2,11/26/2022 13:16,11/26/2022 13:16
Attu Clinic area,2,11/26/2022 13:16,11/26/2022 13:16
Christ Ebenezer area,2,11/26/2022 13:16,11/26/2022 13:16
Methodist lane,2,11/26/2022 13:16,11/26/2022 13:16
Songor Ln.,2,11/26/2022 13:16,11/26/2022 13:16
mome link,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman komkompe,2,11/26/2022 13:16,11/26/2022 13:16
mallam sulley street,2,11/26/2022 13:16,11/26/2022 13:16
DARKUMAN,2,11/26/2022 13:16,11/26/2022 13:16
sulley mallam st,2,11/26/2022 13:16,11/26/2022 13:16
keta lake,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman-Pentecost,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman palace Street,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman Ave. Street,2,11/26/2022 13:16,11/26/2022 13:16
darkuman avenue,2,11/26/2022 13:16,11/26/2022 13:16
darkuman quaters,2,11/26/2022 13:16,11/26/2022 13:16
Tetue Ln.,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman Avenue Street,2,11/26/2022 13:16,11/26/2022 13:16
tetue lane,2,11/26/2022 13:16,11/26/2022 13:16
kowanaso junction,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman naa naashika street,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman Ave.,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman quarters,2,11/26/2022 13:16,11/26/2022 13:16
Mallam Issah Street,2,11/26/2022 13:16,11/26/2022 13:16
Malam Issah Street,2,11/26/2022 13:16,11/26/2022 13:16
Naa Shika St.,2,11/26/2022 13:16,11/26/2022 13:16
otostse koo Street,2,11/26/2022 13:16,11/26/2022 13:16
white Nile street,2,11/26/2022 13:16,11/26/2022 13:16
Black Nile street,2,11/26/2022 13:16,11/26/2022 13:16
black nice street,2,11/26/2022 13:16,11/26/2022 13:16
kwashie Ahiaku Street,2,11/26/2022 13:16,11/26/2022 13:16
Mangoase,2,11/26/2022 13:16,11/26/2022 13:16
opp. art com,2,11/26/2022 13:16,11/26/2022 13:16
busia junction,2,11/26/2022 13:16,11/26/2022 13:16
busia down,2,11/26/2022 13:16,11/26/2022 13:16
blue lagoon,2,11/26/2022 13:16,11/26/2022 13:16
kwasiebu,2,11/26/2022 13:16,11/26/2022 13:16
Amser filing station,2,11/26/2022 13:16,11/26/2022 13:16
DELA AREA,2,11/26/2022 13:16,11/26/2022 13:16
sakaman junction,2,11/26/2022 13:16,11/26/2022 13:16
Tantua school area,2,11/26/2022 13:16,11/26/2022 13:16
Amser filing station area,2,11/26/2022 13:16,11/26/2022 13:16
chabaa,2,11/26/2022 13:16,11/26/2022 13:16
DANSOMAN,2,11/26/2022 13:16,11/26/2022 13:16
Macclean lane,2,11/26/2022 13:16,11/26/2022 13:16
NII BOYE MACLEAN,2,11/26/2022 13:16,11/26/2022 13:16
Westley grammer,2,11/26/2022 13:16,11/26/2022 13:16
Asoredanho,2,11/26/2022 13:16,11/26/2022 13:16
quarters area,2,11/26/2022 13:16,11/26/2022 13:16
ablekuma north municipal office,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman naa naashika street&p,2,11/26/2022 13:16,11/26/2022 13:16
Owusu Kofi Stre,2,11/26/2022 13:16,11/26/2022 13:16
kfc,2,11/26/2022 13:16,11/26/2022 13:16
kpogas area,2,11/26/2022 13:16,11/26/2022 13:16
mallam market,2,11/26/2022 13:16,11/26/2022 13:16
sakaman blue lagoon,2,11/26/2022 13:16,11/26/2022 13:16
Hongkong,2,11/26/2022 13:16,11/26/2022 13:16
accra station,2,11/26/2022 13:16,11/26/2022 13:16
Presbyterian Line,2,11/26/2022 13:16,11/26/2022 13:16
Presby lian,2,11/26/2022 13:16,11/26/2022 13:16
near the Rock School,2,11/26/2022 13:16,11/26/2022 13:16
keta lk,2,11/26/2022 13:16,11/26/2022 13:16
Darkuman naashika street,2,11/26/2022 13:16,11/26/2022 13:16
afropa down,2,11/26/2022 13:16,11/26/2022 13:16
BUSIA,2,11/26/2022 13:16,11/26/2022 13:16
Been tu,2,11/26/2022 13:16,11/26/2022 13:16
opp. St . Anthony sch,2,11/26/2022 13:16,11/26/2022 13:16
presby area,2,11/26/2022 13:16,11/26/2022 13:16
Near Accra Station,2,11/26/2022 13:16,11/26/2022 13:16
post office area,2,11/26/2022 13:16,11/26/2022 13:16
off town,2,11/26/2022 13:16,11/26/2022 13:16
Exhibition,3,11/26/2022 13:16,11/26/2022 13:16
Mass road,3,11/26/2022 13:16,11/26/2022 13:16
Gbegbeyise,3,11/26/2022 13:16,11/26/2022 13:16
Last stop,3,11/26/2022 13:16,11/26/2022 13:16
Agege last stop,3,11/26/2022 13:16,11/26/2022 13:16
Dansoman last stop,3,11/26/2022 13:16,11/26/2022 13:16
mpoase,3,11/26/2022 13:16,11/26/2022 13:16
Damba,3,11/26/2022 13:16,11/26/2022 13:16
Damba Street,3,11/26/2022 13:16,11/26/2022 13:16
market,3,11/26/2022 13:16,11/26/2022 13:16
karikari,3,11/26/2022 13:16,11/26/2022 13:16
Alijara,3,11/26/2022 13:16,11/26/2022 13:16
Gbegbeyesi,3,11/26/2022 13:16,11/26/2022 13:16
beach road,3,11/26/2022 13:16,11/26/2022 13:16
Dama,3,11/26/2022 13:16,11/26/2022 13:16
Night Market,3,11/26/2022 13:16,11/26/2022 13:16
Shiabu Station,3,11/26/2022 13:16,11/26/2022 13:16
205,3,11/26/2022 13:16,11/26/2022 13:16
Zone 6,3,11/26/2022 13:16,11/26/2022 13:16
Agege laststop,3,11/26/2022 13:16,11/26/2022 13:16
Atomic,3,11/26/2022 13:16,11/26/2022 13:16
Accountant General,3,11/26/2022 13:16,11/26/2022 13:16
Mampoase,3,11/26/2022 13:16,11/26/2022 13:16
Point 6,3,11/26/2022 13:16,11/26/2022 13:16
Kofi & Ama,3,11/26/2022 13:16,11/26/2022 13:16
Sahara Down.,3,11/26/2022 13:16,11/26/2022 13:16
OPETEKWEI,3,11/26/2022 13:16,11/26/2022 13:16
Mamponse,3,11/26/2022 13:16,11/26/2022 13:16
karikari/zone 6,3,11/26/2022 13:16,11/26/2022 13:16
Capital O2,3,11/26/2022 13:16,11/26/2022 13:16
Agege down,3,11/26/2022 13:16,11/26/2022 13:16
Shiabu-Agege Mamponse,3,11/26/2022 13:16,11/26/2022 13:16
Olidade,3,11/26/2022 13:16,11/26/2022 13:16
Ayigbe Town,3,11/26/2022 13:16,11/26/2022 13:16
Agege,3,11/26/2022 13:16,11/26/2022 13:16
Agege Mamponse,3,11/26/2022 13:16,11/26/2022 13:16
shiabu agege mamponse,3,11/26/2022 13:16,11/26/2022 13:16
FIRST STOP,3,11/26/2022 13:16,11/26/2022 13:16
Zone 6/Agege,3,11/26/2022 13:16,11/26/2022 13:16
ZODIAC,3,11/26/2022 13:16,11/26/2022 13:16
AKOKORFOTO,3,11/26/2022 13:16,11/26/2022 13:16
Star of Sea,3,11/26/2022 13:16,11/26/2022 13:16
Beach Road Drug store,3,11/26/2022 13:16,11/26/2022 13:16
Akorkofoto,3,11/26/2022 13:16,11/26/2022 13:16
